kode;nama;kategori;satuan_kecil;harga_beli;harga_jual;satuan_besar
0114i0002;ARTEOPTIC LA 2% EYE DROP 2.5ML;Obat Keras;Botol;136500;161100;Botol
0104k0037;ASAM MEFENAMAT BERNOFARM 50MG/5ML SUSP 60ML;Obat Keras;Botol;6600;7800;Botol
OBT1080;ASTRAMUNO;Obat Herbal;Botol;31365011;354424.63;Botol
0103b0169;ATAROC 5MCG/1ML SYR 60ML;Obat Keras;Botol;505827;59687.59;Botol
OBT1056;AUTOCHECK URIC ACID 25 STRIP;Alat Kesehatan;Botol;94000;107160;Botol
0103d0032;AVAMYS NASAL SPRAY 120ML;Obat Keras;Botol;19586505;225244.81;Botol
012101051x17;AYAM MKP 150ML;Obat Bebas;Botol;5537011;62014.52;Botol
012101050x17;AYAM MKP 40ML;Obat Bebas;Botol;1599827;17920;Botol
OBT0958;AZITHROMYCIN SYRUP 15ML;Obat Keras;Botol;31968;36440;Botol
0113f5960;AZMI VIRGIN COCONUT OIL 130ML;Obat Herbal;Botol;80000;89600;Botol
0113f5961;AZMI VIRGIN COCONUT OIL 250ML;Obat Herbal;Botol;140000;156800;Botol
0108f0118;AZOMAX 200MG/5ML D SYR 15ML;Obat Keras;Botol;104340;117904.2;Botol
0114f0001;AZOPT 1% EYE DROP 5ML;Obat Keras;Botol;215000;253700;Botol
OBT0470;AZVIT TABLET;Vitamin;Botol;132000;150480;Botol
40201070;BADAK LARUTAN 200ML;F&b;Botol;293473;3290;Botol
40201071;BADAK LARUTAN 500ML;F&b;Botol;612387;6860;Botol
40201072;BADAK LARUTAN KALENG 320ML;F&b;Botol;4523;5400;Botol
12100087;BALJITOT MINYAK GOSOK 50ML;Obat Bebas;Botol;10800;12100;Botol
12100090;BALPIRIK KAYU PUTIH;Obat Bebas;Botol;92917;10400;Botol
12100092;BALPIRIK LAVENDER;Obat Bebas;Botol;92917;10400;Botol
12100093;BALPIRIK MERAH;Obat Bebas;Botol;9834;11014.08;Botol
0110f0003;BATUGIN ELIXIR 120ML;Obat Bebas;Botol;245125;27450;Botol
OBT0497;BAUSCH & LOMB RENU MULTIPLUS LUBRICATING & REWETTING DROPS 8 ML;Obat Bebas;Botol;333817;38050;Botol
OBT1100;BAUSCH+LOMB RENU FRESH MULTI-PURPOSE SOLUTION 355 ML;Obat Bebas;Botol;59700;67460;Botol
OBT0418;BAUSCH+LOMB RENU FRESH MULTI-PURPOSE SOLUTION 60 ML;Obat Bebas;Botol;246257;27850;Botol
40200072;BEAR BRAND WHITE TEA 140ML;F&b;Botol;864512;9941.89;Botol
0116m0209;BEDAK SALICYL IKA;Obat Bebas;Botol;110889;12420;Botol
0103c0757;BENACOL EXPECT SYR 100ML;Obat Bebas;Botol;16000;17900;Botol
0103c0758;BENACOL EXPECT SYR 60ML;Obat Bebas;Botol;12000;13400;Botol
OBT0711;BERKAH JAHE MERAH 135GR;Obat Herbal;Botol;35000;40250;Botol
OBT0712;BERKAH KUNYIT PUTIH 135GR;Obat Herbal;Botol;35000;40250;Botol
OBT0713;BERKAH TEMULAWAK 135GR;Obat Herbal;Botol;35000;40250;Botol
OBT0262;BETADINE COLD DEFENCE NASAL SPRAY 20 ML;Obat Bebas;Botol;130625;147610;Botol
0110a0117;BETADINE FEMININE HYGIENE 60ML;Obat Bebas;Botol;286935;32136.72;Botol
CPAI0306;BETADINE FEMININE WASH NATURAL DAUN SIRIH RADIANCE BLOSSOM 110 ML;Obat Bebas;Botol;160545;18140;Botol
1,15E+11;BETADINE GARGLE 100ML;Obat Bebas;Botol;195804;22130;Botol
0108c0106;BETADINE GARGLE 190ML;Obat Bebas;Botol;2952045;33360;Botol
0116k0146;BETADINE SABUN CAIR 100ML;Obat Bebas;Botol;330336;37000;Botol
0116k0148;BETADINE SABUN CAIR 60ML;Obat Bebas;Botol;24365;27300;Botol
0116k0150;BETADINE SOL 15ML;Obat Bebas;Botol;1259739;14240;Botol
0116k0152;BETADINE SOL 30ML;Obat Bebas;Botol;21312;23870;Botol
0116k0154;BETADINE SOL 5ML;Obat Bebas;Botol;492766;5520;Botol
0116k0155;BETADINE SOL 60ML;Obat Bebas;Botol;366078;41370;Botol
OBT0279;BETADINE SOLUTION 1 L;Obat Bebas;Botol;192500;347875;Botol
8,99E+12;BETADINE SPRAY 55 GR;Alat Kesehatan;Botol;69300;79700;Botol
OBT1002;BETADINE THROAT SPRAY 50 ML;Obat Bebas;Botol;1043955;119010;Botol
0110a0007;BETADINE VAG D.100ML;Obat Bebas;Botol;44680;50000;Botol
0110a0009;BETADINE VAG D.225ML;Obat Bebas;Botol;77600;86900;Botol
BXEG7737;BETOMINPLEX 100 TABLET BOTOL;Vitamin;Botol;228338;25570;Botol
0112d0009;BIOCALCI 72 TAB 30S;Obat Bebas;Botol;6201089;70070;Botol
0104k0436;BIOGESIC SYR 60ML;Obat Bebas;Botol;23760;26600;Botol
0112g0012;BIOLYSIN KID BLACKCURRANT TAB 30 BTL;Obat Bebas;Botol;122705;13870;Botol
0112g0013;BIOLYSIN KID ORANGE TAB 30S BTL;Obat Bebas;Botol;1238205;13870;Botol
0112g0015;BIOLYSIN KID STRAWBERY TAB 30S BTL;Obat Bebas;Botol;1238205;13867.9;Botol
0112g0017;BIOLYSIN SMART 100ML;Obat Bebas;Botol;16000;17900;Botol
0112g0018;BIOLYSIN SMART 60ML;Obat Bebas;Botol;11500;12900;Botol
0112g0182;BIOLYSIN SYR 100ML;Obat Bebas;Botol;1606725;17995.32;Botol
0112g0183;BIOLYSIN SYR 60ML;Obat Bebas;Botol;118437;13264.94;Botol
30000198;BIO-OIL SPECIALIST FOR SKIN CARE 60ML;Obat Bebas;Botol;98182;109950;Botol
OBT0447;BIOPREXUM 10 MG 30 TABLET;Obat Keras;Botol;471195;18690.74;Tablet
8,99E+12;BIOSTRUM SYR 100ML;Vitamin;Botol;541125;60610;Botol
0103c0763;BISOLVON 2MG/ML SOL 50ML;Obat Bebas;Botol;8483508;95015.29;Botol
0103c0769;BISOLVON EXT SYR 125ML;Obat Bebas;Botol;6742584;75520;Botol
0103c0770;BISOLVON EXT SYR 60ML;Obat Bebas;Botol;4011984;45330;Botol
0103c0772;BISOLVON FLU&BATUK SYR 60ML;Obat Bebas;Botol;34000;40800;Botol
0103c0774;BISOLVON STRAW KIDS SYR 60ML;Obat Bebas;Botol;362637;40614.1;Botol
020006342x17;BKA BOTOL KACA ASI 100ML;Alat Kesehatan;Botol;84000;100800;Botol
93552073;BLACKMORES BIO C 1000 30S;Vitamin;Botol;10500023;120750;Botol
OBT0655;BLACKMORES BIO C 1000 MG 90 TABLET;Vitamin;Botol;28229326;318990;Botol
OBT0913;BLACKMORES KIDS BODY SHIELD 60 TABLET;Obat Bebas;Botol;17406826;200178.5;Botol
OBT0893;BLACKMORES MULTI B PERFORMANCE 62 TABLET;Vitamin;Botol;24824992;285487.41;Botol
93551847;BLACKMORES MULTIVITAMINS 30S;Vitamin;Botol;11503651;132290;Botol
93553605;BLACKMORES ODOURLES FISH OIL 1000 30S;Vitamin;Botol;6054523;69630;Botol
OBT0912;BLACKMORES PREGNANCY & BREAST-FEEDING GOLD 60S;Obat Bebas;Botol;20434129;234992.48;Botol
HHVF4276;BLACKMORES VITAMIN C 500 MG 60 TABLET;Vitamin;Botol;10973849;124000;Botol
OBT0892;BLACKMORES VITAMIN D3 1000 IU 60 KAPSUL;Vitamin;Botol;13622697;153940;Botol
0103d00331;BNS BREATHY NASAL SPRAY 30ML;Obat Bebas;Botol;86240;91410;Botol
0103c0777;BODREX FLU&BATUK BERDAHAK SYR 60ML;Oot Prekursor;Botol;9999;12000;Botol
0103c0778;BODREX FLU&BATUK TIDAK BERDAHAK SYR 60ML;Oot Prekursor;Botol;9999;11998.8;Botol
0104k0440;BODREXIN DEMAM 60ML;Obat Bebas;Botol;93258;10538.15;Botol
OBT0641;BODREXIN FLU DAN BATUK BERDAHAK PE SIRUP 56 Ml;Obat Bebas;Botol;10070;11280;Botol
0103c0779;BODREXIN FLU&ALERGI SYR 56ML (P);Oot Prekursor;Botol;9350;11220;Botol
OBT1191;BONE KIDS TABLET KUNYAH;Vitamin;Botol;22200;25308;Botol
0114i0008;BOOR WATER 100ML;Obat Bebas;Botol;39996;4500;Botol
0114i0009;BOOR WATER 300ML;Obat Bebas;Botol;10500;11800;Botol
OBT0046;BRANDS ESSENCE OF CHICKEN ORIGINAL 42 G 1 BOTOL;Obat Herbal;Botol;12050;13740;Botol
0103d0037;BREATHY TETES HIDUNG 30ML;Obat Bebas;Botol;407925;46095.53;Botol
0103c0910;BRONCHITIN EXP SYR 50ML;Obat Bebas;Botol;62601;7011.31;Botol
OBT0979;BRONCHITIN EXP SYR ANAK;Obat Bebas;Botol;715081;8000;Botol
OBT0229;BUFANTACID FORTE SUSPENSI;Obat Bebas;Botol;899999;10169.99;Botol
0104k0461;BUFECT 100MG/5ML SYR 60ML;Obat Bebas;Botol;16317;18438.21;Botol
0104k0462;BUFECT F 200MG/5ML SYR 50ML;Obat Bebas;Botol;230769;25850;Botol
0114i0014;C CATARLENT EYE DROP 5ML;Obat Keras;Botol;236423;27900;Botol
0114a0035;C CENDRID EYE DROP 5ML;Obat Keras;Botol;166375;19632;Botol
0114g0003;C CENFRESH EYE DROP 5ML;Obat Keras;Botol;3677541;41560;Botol
0114a0038;C CETAMID 15% EYE DROP 5ML;Obat Keras;Botol;11250;13300;Botol
0114a0079;C FENICOL 0.25% EYE DROP 5ML;Obat Keras;Botol;2428125;28650;Botol
0114a0081;C FENICOL 0.5% EYE DROP 5ML;Obat Keras;Botol;336875;39750;Botol
0114a0089;C GENTA 0.3% EYE DROP 5ML;Obat Keras;Botol;2913417;34380;Botol
0114a0093;C GENTA 1% EYE DROP 5ML;Obat Keras;Botol;2387388;28160.7;Botol
1,14E+03;C HOMATRO EYE DROP 5ML;Obat Keras;Botol;39050;46100;Botol
0114h0007;C LYTERS EYE DROP 15ML;Obat Keras;Botol;2235207;25257.84;Botol
0114f0010;C MYDRIATHYL 0.5% EYE DROP 5ML;Obat Keras;Botol;317625;37480;Botol
0114c0004;C NONCORT EYE DROP 5ML;Obat Keras;Botol;4298938;50727;Botol
0114c0007;C P PRED EYE DROP 5ML;Obat Keras;Botol;61050;72039;Botol
1,14E+06;C POLYDEX EYE DROP 5ML;Obat Keras;Botol;3670659;43313.78;Botol
1,14E+09;C POLYGRAN EYE DROP 5ML;Obat Keras;Botol;347875;41049;Botol
0114g0013;C POLYNEL EYE DROP 5ML;Obat Keras;Botol;2734545;32270;Botol
0114f0017;C TIMOL 0.5% EYE DROP 5ML;Obat Keras;Botol;4902759;57852.56;Botol
0114a0112;C TOBROSON EYE DROP 5ML;Obat Keras;Botol;457875;54050;Botol
1,14E+18;C TROPINE 1% EYE DROP 5ML;Obat Keras;Botol;1271875;15010;Botol
0114g0015;C VASACON A EYE DROP 15ML;Obat Keras;Botol;2235262;26376.1;Botol
0114g0017;C VASACON EYE DROP 15ML;Obat Keras;Botol;17875;21092;Botol
OBT0990;CALADINE BABY ANTI IRITATION LIQUID SOAP 110 ML;Obat Bebas;Botol;1403262;15856.86;Botol
OBT0991;CALADINE BABY ANTI IRITATION LIQUID SOAP 200 ML;Obat Bebas;Botol;219978;24983;Botol
OBT0995;CALADINE BABY ANTI IRITATION POWDER 100 G;Obat Bebas;Botol;9990;11290;Botol
OBT0994;CALADINE BABY ANTI IRITATION POWDER 55 G;Obat Bebas;Botol;6771;7651.23;Botol
0116g0012;CALADINE LOT 60ML;Obat Bebas;Botol;1345986;15210;Botol
OBT0013;CALADINE MOSQUITO 100 ML;Obat Bebas;Botol;23650;26720;Botol
0116g0023;CALADINE POWDER ORIG 60G;Obat Bebas;Botol;1012098;11340;Botol
0116m0028;CALLUSOL BTL 10ML;Obat Bebas;Botol;28860;32323.2;Botol
BWFP7887;CALNIC PLUS SIRUP 100 ML;Vitamin;Botol;57720;64646.4;Botol
0112d0047;CALNIC SUSP 100ML;Vitamin;Botol;58685;65730;Botol
OBT0981;CALOREX SYR 60ML;Obat Bebas;Botol;1364688;16335;Botol
OBT0211;CALORTUSIN SIRUP;Obat Bebas;Botol;57497;6899.64;Botol
OBT0335;CAMIVIT E 200IU;Vitamin;Botol;27200;31300;Botol
0108n0014;CANDISTIN SUSP ORAL DROP 12ML;Obat Keras;Botol;351648;41490;Botol
OBT0755;CAP BADAK BALSEM KUNING 20 G;Obat Bebas;Botol;81004;9250;Botol
OBT0479;CAP BADAK BALSEM KUNING 36 G;Obat Bebas;Botol;154495;17612.43;Botol
OBT0393;CAP DRAGON MINYAK KAYU PUTIH 100 ML;Obat Bebas;Botol;266541;30400;Botol
OBT0392;CAP DRAGON MINYAK KAYU PUTIH 60 ML;Obat Bebas;Botol;167937;19150;Botol
OBT0722;CAP KOIN MINYAK SEREH 60ML;Obat Bebas;Botol;9500;10850;Botol
OBT0721;CAP KOIN MINYAK TELON 60ML;Obat Bebas;Botol;14900;16986;Botol
OBT0720;CAP KOIN MKP 60ML;Obat Bebas;Botol;19050;21717;Botol
OBT0283;CAPRI C 500 MG 60 KAPLET;Vitamin;Botol;39600;45144;Botol
OBT0355;CARE PLUS SEPTIAIR DESINFECTANT 100 ML;Obat Bebas;Botol;16720;19600;Botol
0116j0124;CARMED LOT 100ML;Obat Bebas;Botol;40150;47380;Botol
0104l0032;CATAFLAM 15MG/ML DROP 15ML;Obat Keras;Botol;4957482;58498.29;Botol
OBT1076;CAVICUR EMULSION 60 ML;Obat Bebas;Botol;1100113;12540;Botol
0112e0372;CAVIPLEX SYR 60ML;Vitamin;Botol;950046;10640.52;Botol
OBT0230;CAZETIN DROP;Obat Keras;Botol;1973025;23307.89;Botol
0108b0049;CEFADROXIL HEXPHARM 125MG/5ML D SYR 60ML;Obat Keras;Botol;695027;7850;Botol
0108b0073;CEFAT 125MG/5ML D SYR 60ML;Obat Keras;Botol;478632;54090;Botol
0108b0076;CEFAT F 250MG/5ML D SYR 60 ML;Obat Keras;Botol;84360;95326.8;Botol
0108b0083;CEFILA 100MG/5ML D SYR 30ML;Obat Keras;Botol;83000;97900;Botol
0108b0104;CEFIXIME IF D SYR 30ML;Obat Keras;Botol;1275129;14410;Botol
0108b0144;CEFSPAN SIRUP 30ML;Obat Keras;Botol;1083915;122482.4;Botol
0118a0042;CELESTAMIN SYR 60ML;Obat Keras;Botol;6780435;80010;Botol
PSAV0105;CELESTAMINE SIRUP 30 ML;Obat Keras;Botol;37895;44700;Botol
OBT1040;CENDO CARPINE 2% EYE DROPS 5 ML;Obat Keras;Botol;198246;23390;Botol
OBT0245;CENDO EYEFRESH 5ML;Obat Bebas;Botol;3044841;34102.22;Botol
CUIB5137;CENDO FLOXA EYE DROPS 5 ML;Obat Keras;Botol;3134269;36984.38;Botol
OBT0866;CENDO HYALUB EYE DROP 5 ML;Obat Keras;Botol;5418197;63950;Botol
OBT1112;CENDO LUBRICEN EYE DROPS 5 ML;Obat Bebas;Botol;3671325;41853.1;Botol
OBT1195;CERADAN GENTLE CLEANSER 1000 ML;Obat Bebas;Botol;502000;562240;Botol
OBT1193;CERADAN GENTLE CLEANSER 280 ML;Obat Bebas;Botol;180000;201600;Botol
OBT1192;CERADAN GENTLE CLEANSER 50 ML;Obat Bebas;Botol;55000;61600;Botol
OBT1194;CERADAN GENTLE CLEANSER 500 ML;Obat Bebas;Botol;245000;274400;Botol
0112g0186;CEREBROFORT GOLD ORANGE 100ML;Vitamin;Botol;1725495;19498.09;Botol
0112g0187;CEREBROFORT GOLD ORANGE 200ML;Vitamin;Botol;30525;34493.25;Botol
0112g0189;CEREBROFORT GOLD STRAWBERRY 100ML;Vitamin;Botol;170995;19300;Botol
0118a0047;CERINI 5MG/5ML SYR 60ML;Obat Keras;Botol;45288;53439.84;Botol
OBT1157;CESSA BABY HAPPY NOSE / COUGH AND FLU 8 ML;Obat Bebas;Botol;369075;42070;Botol
IWIN5149;CETAPHIL BABY GENTLE WASH & SHAMPOO 230 ML;Obat Bebas;Botol;836473;93684;Botol
9,32E+12;CETAPHIL GENTLE SKIN CL 125ML;Obat Bebas;Botol;769615;86950;Botol
30000273;CETAPHIL GENTLE SKIN CLEANSER 250ML;Obat Bebas;Botol;11816505;132344.86;Botol
OBT0491;CETAPHIL GENTLE SKIN CLEANSER 500 ML;Obat Bebas;Botol;150000;168000;Botol
OBT0927;CETAPHIL PRO AD DERMA SKIN RESTORING MOISTURIZER 295 ML;Obat Bebas;Botol;24709543;279217.85;Botol
0118a0054;CETIRIZINE IF 10MG/ML DROP 10ML;Obat Keras;Botol;221445;25466.17;Botol
KFWN9233;CETIRIZINE SIRUP 60 ML;Obat Keras;Botol;4000;4720;Botol
OBT0625;CHAMPS VITAMIN C CHEWABLE 100 MG RASA JERUK 30 TABLET;Vitamin;Botol;259875;29350;Botol
OBT0309;CICATRIX CREAM 30 ML;Obat Bebas;Botol;600000;672000;Botol
0103c0032;CITOCETIN SYR 60ML;Obat Bebas;Botol;681096;7628.28;Botol
0108c0129;CLANEKSI 125MG/5ML D SYR 60ML;Obat Keras;Botol;58492;66100;Botol
0108c0132;CLANEKSI F 250MG/5ML D SYR 60ML;Obat Keras;Botol;800865;90497.74;Botol
0118a0075;CLARITIN SYR 30ML;Obat Keras;Botol;41074;48500;Botol
0118a0076;CLARITIN SYR 60ML;Obat Keras;Botol;859362;101400;Botol
0108c0329x17;CO AMOXICLAV DEXA 125MG/5ML D SYR 60ML;Obat Keras;Botol;7700;8470;Botol
OBT0089;CODIPRONT CUM EXP SYRUP;Obat Keras;Botol;61105;76381.25;Botol
OBT0090;CODIPRONT SYRUP;Obat Keras;Botol;56265;70331.25;Botol
0103c0962;COHISTAN EXP SYR 100ML;Obat Bebas;Botol;3538014;39625.76;Botol
0103c0963;COHISTAN EXP SYR 60ML;Obat Bebas;Botol;2251746;25219.56;Botol
0103c0793;COLDREXIN SYR 60ML;Oot Prekursor;Botol;7250;8700;Botol
OBT1071;COLERGIS SIRUP 60 ML;Obat Keras;Botol;51060;60250;Botol
OBT0592;COLLAGEN COMPLEX BIO MARINE 60 CAPSUL;Vitamin;Botol;324000;362880;Botol
0108q0010;COMBANTRIN JERUK 10ML;Obat Bebas;Botol;1738371;19640;Botol
20000896;COMPLETE LENS CLEANER 350ML;Obat Bebas;Botol;72500;81200;Botol
OBT0877;COMTUSI RASA STRAWBERRY SYRUP 60ML;Obat Keras;Botol;38961;46360;Botol
OBT0321;COMTUSI SIRUP 100 ML;Obat Keras;Botol;554667;66560.04;Botol
0103c0800;COMTUSI SYR 60ML;Obat Keras;Botol;3584412;42300;Botol
EYND4844;COOLING 5 PLUS ORANGE 15 ML;Obat Bebas;Botol;353535;39950;Botol
0103c0808;COREDRYL EXP SYR 100ML;Obat Bebas;Botol;949912;10640;Botol
OBT1145;CORTAMINE SIRUP 60 ML;Obat Keras;Botol;5720662;67500;Botol
OBT0729;COSYREL 5 MG/5 MG 30 TABLET;Obat Keras;Botol;355740;423330.6;Botol
OBT0948;COTRIMOXAZOLE SYRUP;Obat Keras;Botol;4995;5990;Botol
OBT0431;COVERAM 5 MG/10 MG 30 TABLET;Obat Keras;Botol;493617;587404.23;Botol
OBT1131;COVERAM 5 MG/5 MG 30 TABLET;Obat Keras;Botol;3877785;457580;Botol
OBT0946;CTM 4MG 100S;Obat Bebas;Botol;6600;100;Tablet
0113f0451;CUKA APEL TAHESTA 300ML;Obat Herbal;Botol;85200;95400;Botol
9,00E+12;CURCUMA + SHARPY ORANGE 60ML;Vitamin;Botol;1348872;15107.37;Botol
0112g00421;CURCUMA PLUS APPETITE SYR 120ML;Vitamin;Botol;29800;33400;Botol
0112g0043;CURCUMA PLUS APPETITE SYR 60ML;Vitamin;Botol;19000;21300;Botol
0112g0044;CURCUMA PLUS FRUIT VEGGIE BLACKCURRANT SYR 100ML;Vitamin;Botol;19000;21300;Botol
0112g0045;CURCUMA PLUS FRUIT VEGGIE BLACKCURRANT SYR 200ML;Vitamin;Botol;28700;32100;Botol
0112g0046;CURCUMA PLUS FRUIT VEGGIE JERUK SYR 100ML;Vitamin;Botol;21756;24366.72;Botol
0112g0047;CURCUMA PLUS FRUIT VEGGIE JERUK SYR 200ML;Vitamin;Botol;28700;32100;Botol
0112g0048;CURCUMA PLUS FRUIT VEGGIE STRAWBERRY SYR 100ML;Vitamin;Botol;19000;21300;Botol
OBT0083;CURCUMA PLUS GO TALZ RASA JERUK 20 TABLET;Vitamin;Botol;154154;17420;Botol
0112g0051;CURCUMA PLUS GROW EMULSION BLACKCURANT 200ML;Vitamin;Botol;21000;23500;Botol
0112g0052;CURCUMA PLUS GROW EMULSION ORANGE 200ML;Vitamin;Botol;2480184;28026.08;Botol
0112g0054;CURCUMA PLUS GROW EMULSION STRAWBERRY 400ML;Vitamin;Botol;30300;33900;Botol
0112g0055;CURCUMA PLUS GROW EMULSION STRAWBERY 200ML;Vitamin;Botol;2480184;28026.08;Botol
0112g0057;CURCUMA PLUS IMUNS 60ML;Vitamin;Botol;155232;17390;Botol
0112g0065;CURCUMA PLUS SHARPY STRAWBERRY 60ML;Vitamin;Botol;133672;14970;Botol
OBT0357;CURMUNOS SIRUP 60 ML;Vitamin;Botol;88000;98560;Botol
1,13E+12;CURVIT CL EMULSION 175ML;Vitamin;Botol;5210562;58360;Botol
1,13E+14;CURVIT SYR 120ML;Vitamin;Botol;3562545;40256.76;Botol
1,13E+15;CURVIT SYR 60ML;Vitamin;Botol;2540013;28450;Botol
OBT0143;D3 400IU NATURE PLUS 90S;Vitamin;Botol;158600;1973.69;Capsul
0116b0007;DAKTARIN PWD 20G;Obat Bebas;Botol;5041953;56470;Botol
0101d0012;DARYAZINC 27.5MG/ML DROPS 15ML;Obat Bebas;Botol;3733762;42191.52;Botol
0103c0059;DECADRYL EXP SYR 120ML;Oot Prekursor;Botol;19980;22977;Botol
0103c0058;DECADRYL EXP SYR 60ML;Oot Prekursor;Botol;1462425;16817.89;Botol
